"match_id","time","home_fault","card","away_fault","info"
13423,"49","Williams J. ","yellow card","",NA
13424,"25","","yellow card"," Forsyth C.",NA
13424,"30","","yellow card"," Wisdom A.",NA
13424,"30","","yellow card"," Johnson B.",NA
13424,"30","Woods R. ","yellow card","",NA
13424,"36","Dalsgaard H. ","yellow card","",NA
13424,"37","","yellow card"," Winnall S.",NA
13424,"45+5","Watkins O. ","yellow card","",NA
13424,"76","","yellow card"," Keogh R.",NA
13427,"23","","yellow card"," Philips K.",NA
13427,"39","","yellow card"," Cooper L.",NA
13427,"45+3","","red card"," Cooper L.",NA
13428,"24","Larsson S. ","yellow card","",NA
13428,"36","Dawson M. ","yellow card","",NA
13428,"37","McGregor A. ","yellow card","",NA
13428,"37","Campbell F. ","yellow card","",NA
13428,"61","","yellow card"," Fisher D.",NA
13428,"90+2","","yellow card"," Johnson D.",NA
13431,"87","Wallace J. ","yellow card","",NA
13432,"55","Worrall J. ","yellow card","",NA
13432,"71","Mills M. ","yellow card","",NA
13422,"15","","red card"," Coady C.",NA
13422,"54","Coutts P. ","yellow card","",NA
13422,"61","","yellow card"," Neves R.",NA
13422,"67","Basham C. ","yellow card","",NA
13422,"75","Baldock G. ","yellow card","",NA
13420,"17","Luongo M. ","yellow card","",NA
13420,"22","Mackie J. ","yellow card","",NA
13420,"63","","yellow card"," Norwood O.",NA
13420,"64","","yellow card"," Fredericks R.",NA
13420,"83","Lynch J. ","yellow card","",NA
13420,"83","","yellow card","Fonte R.",NA
13420,"87","","yellow card"," Button D.",NA
16508,"36","Fabinho ","yellow card","",NA
16508,"53","Jemerson ","yellow card","",NA
16508,"55","Toure A. ","yellow card","",NA
17659,"75","Oczipka B. ","yellow card","",NA
17659,"86","Nastasic M. ","yellow card","",NA
30340,"9","Vuckic H. ","yellow card","",NA
30340,"56","","yellow card"," Propper R.",NA
30340,"74","","yellow card"," Kuwas B.",NA
45371,"20","Poepon R. ","yellow card","",NA
45371,"41","Okutan M. ","yellow card","",NA
45371,"64","","yellow card"," Ucar M.",NA
45371,"81","","yellow card"," Kuru U. A.",NA
45371,"85","","yellow card"," Alici K.",NA
45371,"87","Arapi R. ","yellow card","",NA
45371,"90+3","Degirmenci G. ","yellow card","",NA
13307,"20","Pugh M. ","yellow card","",NA
13413,"66","Damour L. ","yellow card","",NA
13413,"79","Bennett J. ","yellow card","",NA
13413,"87","","yellow card"," Johnson B.",NA
13416,"67","","yellow card"," Dalsgaard H.",NA
13416,"70","Christie C. ","yellow card","",NA
13416,"90+4","Bamford P. ","yellow card","",NA
13416,"90+5","","yellow card"," Watkins O.",NA
13416,"90+6","Randolph D. ","yellow card","",NA
13416,"90+6","","yellow card"," Maupay N.",NA
13417,"45+1","","yellow card"," Pearson M.",NA
13417,"48","","yellow card"," McGeehan C.",NA
13417,"64","Wallace J. ","yellow card","",NA
13417,"82","Ferguson S. ","yellow card","",NA
13417,"85","","yellow card"," McCarthy J.",NA
16503,"57","","yellow card"," Lienard D.",NA
16503,"85","Yambere C. ","red card","",NA
16503,"90","","yellow card"," Aholou J.",NA
16505,"47","","yellow card"," Assou-Ekotto B.",NA
16505,"52","","red card"," Assou-Ekotto B.",NA
16505,"65","","yellow card"," Cohade R.",NA
16505,"90","Lima ","yellow card","",NA
16505,"90+3","Girotto A. ","yellow card","",NA
16505,"90+5","","yellow card","Roux N.",NA
16505,"90+6","","yellow card"," Balliu I.",NA
16507,"45+1","Meunier T. ","yellow card","",NA
17657,"62","Caiuby ","yellow card","",NA
17657,"75","Heller M. ","yellow card","",NA
17657,"78","Koo Ja-Cheol ","yellow card","",NA
17657,"87","Opare D. ","yellow card","",NA
17658,"7","Guilavogui J. ","yellow card","",NA
17658,"43","Malli Y. ","yellow card","",NA
17658,"89","Ntep de Madiba P. ","yellow card","",NA
17658,"90+2","Ntep de Madiba P. ","red card","",NA
24571,"6","Pellegri P. ","yellow card","",NA
24571,"38","Palladino R. ","yellow card","",NA
24571,"43","Rossettini L. ","yellow card","",NA
24571,"84","Veloso M. ","yellow card","",NA
24572,"15","Barak A. ","yellow card","",NA
24572,"32","De Paul R. ","yellow card","",NA
24572,"76","Fofana S. ","yellow card","",NA
24572,"83","Balic A. ","yellow card","",NA
30337,"53","","yellow card"," Lachman D.",NA
30337,"68","","yellow card"," Wellenreuther T.",NA
30337,"68","","yellow card"," Heerkens F.",NA
30338,"50","van Polen B. ","yellow card","",NA
30338,"55","Boer D. ","yellow card","",NA
30338,"84","Namli Y. ","yellow card","",NA
30338,"84","","yellow card"," Idrissi O.",NA
30338,"84","Ehizibue K. ","yellow card","",NA
30338,"87","","red card"," van Weert T.",NA
41163,"48","Perez R. ","yellow card","",NA
41163,"77","Szymanowski A. ","yellow card","",NA
41164,"61","Bardhi E. ","yellow card","",NA
41164,"78","Boateng E. ","yellow card","",NA
45280,"7","Bifouma T. ","yellow card","",NA
45280,"23","","yellow card"," Maicon",NA
45280,"39","","yellow card"," Angelo D.",NA
45280,"43","Arslan H. ","yellow card","",NA
45280,"45+1","","yellow card"," Charles",NA
45280,"57","N'dinga D. ","red card","",NA
45280,"61","","yellow card"," Vainqueur W.",NA
45280,"74","","yellow card"," Aytac S.",NA
45369,"31","Ozan Y. ","yellow card","",NA
45369,"42","","yellow card"," Erdem Ugurlu M.",NA
45369,"52","Taskin I. ","yellow card","",NA
45369,"90","","yellow card"," Celik Y. C.",NA
45370,"12","Sensoy Z. ","yellow card","",NA
45370,"38","Celik Z. ","yellow card","",NA
45370,"51","Cajic A. ","yellow card","",NA
45370,"62","","yellow card"," Incedemir Y.",NA
13303,"55","Perez A. ","yellow card","",NA
13304,"49","Calvert-Lewin D. ","yellow card","",NA
13304,"58","Baines L. ","yellow card","",NA
13305,"17","","yellow card"," Gross P.",NA
13305,"39","","yellow card"," Duffy S.",NA
13409,"90+5","Palmer L. ","yellow card","",NA
16499,"32","Lees Melou P. ","yellow card","",NA
16499,"50","Plea A. ","yellow card","",NA
16500,"50","","yellow card"," Marcelo",NA
16500,"50","","red card"," Marcelo",NA
16500,"59","Thomas R. ","yellow card","",NA
16500,"64","","yellow card"," Rafael",NA
16500,"78","Santamaria B. ","yellow card","",NA
16500,"90+2","","yellow card"," Ferri J.",NA
17652,"52","","yellow card"," Tolisso C.",NA
17652,"72","","yellow card"," Kimmich J.",NA
17653,"28","Stenzel P. ","yellow card","",NA
